Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Foot Locker,1185732,01/01/2022,Northeast,New York,New York,Men's Street Footwear,50,125,"6,250","3,125",50%,In-store
West Gear,1128299,01/01/2022,Midwest,Wisconsin,Milwaukee,Women's Street Footwear,39,122,"4,758","1,903",40%,Outlet
Foot Locker,1185732,01/01/2022,Northeast,Pennsylvania,Philadelphia,Women's Apparel,75,128,"9,600","2,880",30%,Outlet
West Gear,1128299,01/01/2022,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,32,203,"6,496","2,793",43%,Outlet
Foot Locker,1185732,01/01/2022,West,Idaho,Boise,Women's Apparel,71,126,"8,946","5,815",65%,Online
Foot Locker,1185732,01/01/2022,Northeast,West Virginia,Charleston,Women's Athletic Footwear,36,1,36,15,41%,Online
West Gear,1128299,01/01/2022,Midwest,Indiana,Indianapolis,Men's Apparel,59,169,"9,971","2,792",28%,Outlet
West Gear,1128299,01/01/2022,West,Oregon,Portland,Men's Street Footwear,55,113,"6,215","3,232",52%,Online
Sports Direct,1197831,01/01/2022,Northeast,Massachusetts,Boston,Women's Athletic Footwear,41,118,"4,838","1,645",34%,In-store
Foot Locker,1185732,01/01/2022,Northeast,New York,New York,Men's Street Footwear,47,336,"15,792","9,633",61%,Online
West Gear,1128299,01/01/2022,Midwest,Wisconsin,Milwaukee,Men's Athletic Footwear,39,149,"5,811","2,673",46%,Online
Foot Locker,1185732,01/01/2022,Northeast,Pennsylvania,Philadelphia,Women's Apparel,68,83,"5,644","2,427",43%,Online
Foot Locker,1185732,01/01/2022,West,Hawaii,Honolulu,Men's Street Footwear,60,160,"9,600","3,264",34%,Online
Foot Locker,1185732,01/01/2022,Midwest,Illinois,Chicago,Women's Athletic Footwear,56,246,"13,776","6,337",46%,Online
Kohl's,1189833,01/01/2022,West,New Mexico,Albuquerque,Men's Street Footwear,51,199,"10,149","4,364",43%,Online
Sports Direct,1197831,01/01/2022,South,Texas,Dallas,Women's Apparel,59,149,"8,791","3,868",44%,In-store
